product_id,sektor,ana_kategori,alt_kategori,urun_turu,marka,model,urun_adi,birim,icon,photo_thumb_path,photo_detail_path,ui_seviye_1,ui_seviye_2,ui_seviye_3,ui_seviye_4,ui_seviye_5,ui_path
P00001,Gıda,Et Tavuk Balık,Balık,Balık,,,Levrek,Adet,,,,Gıda,Et Tavuk Balık,Balık,,,Gıda > Et Tavuk Balık > Balık
P00002,Gıda,Et Tavuk Balık,Balık,Balık,,,Lüfer,Adet,,,,Gıda,Et Tavuk Balık,Balık,,,Gıda > Et Tavuk Balık > Balık
P00003,Gıda,Et Tavuk Balık,Balık,Balık,,,Çupra,Adet,,,,Gıda,Et Tavuk Balık,Balık,,,Gıda > Et Tavuk Balık > Balık
P00004,Gıda,Et Tavuk Balık,Balık,Balık,,,Palamut,Adet,,,,Gıda,Et Tavuk Balık,Balık,,,Gıda > Et Tavuk Balık > Balık
P00005,Gıda,Et Tavuk Balık,Kuzu Eti,Kuzu Eti,,,Dana Kasap Köfte,Kg,,,,Gıda,Et Tavuk Balık,Kuzu Eti,,,Gıda > Et Tavuk Balık > Kuzu Eti
P00006,Gıda,Et Tavuk Balık,Hazır Et Ürünü,Hazır Et Ürünü,,,Dana Kıyma,Kg,,,,Gıda,Et Tavuk Balık,Hazır Et Ürünü,,,Gıda > Et Tavuk Balık > Hazır Et Ürünü
P00007,Gıda,Et Tavuk Balık,Dana Eti,Dana Eti,,,Dana Antrikot,Kg,,,,Gıda,Et Tavuk Balık,Dana Eti,,,Gıda > Et Tavuk Balık > Dana Eti
P00008,Gıda,Et Tavuk Balık,Dana Eti,Dana Eti,,,Dana Bonfile,Kg,,,,Gıda,Et Tavuk Balık,Dana Eti,,,Gıda > Et Tavuk Balık > Dana Eti
P00009,Gıda,Et Tavuk Balık,Dana Eti,Dana Eti,,,Dana Döş,Kg,,,,Gıda,Et Tavuk Balık,Dana Eti,,,Gıda > Et Tavuk Balık > Dana Eti
P00010,Gıda,Et Tavuk Balık,Dana Eti,Dana Eti,,,Dana Gerdan Kemikli,Kg,,,,Gıda,Et Tavuk Balık,Dana Eti,,,Gıda > Et Tavuk Balık > Dana Eti
P00011,Gıda,Et Tavuk Balık,Dana Eti,Dana Eti,,,Dana Izgara Biftek,Kg,,,,Gıda,Et Tavuk Balık,Dana Eti,,,Gıda > Et Tavuk Balık > Dana Eti
P00012,Gıda,Et Tavuk Balık,Dana Eti,Dana Eti,,,Dana İncik,Kg,,,,Gıda,Et Tavuk Balık,Dana Eti,,,Gıda > Et Tavuk Balık > Dana Eti
P00013,Gıda,Et Tavuk Balık,Dana Eti,Dana Eti,,,Dana Kaburga,Kg,,,,Gıda,Et Tavuk Balık,Dana Eti,,,Gıda > Et Tavuk Balık > Dana Eti
P00014,Gıda,Et Tavuk Balık,Dana Eti,Dana Eti,,,Dana Karaciğer,Kg,,,,Gıda,Et Tavuk Balık,Dana Eti,,,Gıda > Et Tavuk Balık > Dana Eti
P00015,Gıda,Et Tavuk Balık,Dana Eti,Dana Eti,,,Dana Kontrafile,Kg,,,,Gıda,Et Tavuk Balık,Dana Eti,,,Gıda > Et Tavuk Balık > Dana Eti
P00016,Gıda,Et Tavuk Balık,Dana Eti,Dana Eti,,,Dana Kuşbaşı,Kg,,,,Gıda,Et Tavuk Balık,Dana Eti,,,Gıda > Et Tavuk Balık > Dana Eti
P00017,Gıda,Et Tavuk Balık,Dana Eti,Dana Eti,,,Dana Pirzola,Kg,,,,Gıda,Et Tavuk Balık,Dana Eti,,,Gıda > Et Tavuk Balık > Dana Eti
P00018,Gıda,Et Tavuk Balık,Dana Eti,Dana Eti,,,Dana Yemeklik Kıyma,Kg,,,,Gıda,Et Tavuk Balık,Dana Eti,,,Gıda > Et Tavuk Balık > Dana Eti
P00019,Gıda,Et Tavuk Balık,Kuzu Eti,Kuzu Eti,,,Kuzu Döş,Kg,,,,Gıda,Et Tavuk Balık,Kuzu Eti,,,Gıda > Et Tavuk Balık > Kuzu Eti
P00020,Gıda,Et Tavuk Balık,Kuzu Eti,Kuzu Eti,,,Kuzu Gerdan,Kg,,,,Gıda,Et Tavuk Balık,Kuzu Eti,,,Gıda > Et Tavuk Balık > Kuzu Eti
P00021,Gıda,Et Tavuk Balık,Kuzu Eti,Kuzu Eti,,,Kuzu Pirzola,Kg,,,,Gıda,Et Tavuk Balık,Kuzu Eti,,,Gıda > Et Tavuk Balık > Kuzu Eti
P00022,Gıda,Et Tavuk Balık,Kuzu Eti,Kuzu Eti,,,Kuzu Küşleme,Kg,,,,Gıda,Et Tavuk Balık,Kuzu Eti,,,Gıda > Et Tavuk Balık > Kuzu Eti
P00023,Gıda,Et Tavuk Balık,Tavuk Eti,Tavuk Eti,,,Tavuk Bütün,Kg,,,,Gıda,Et Tavuk Balık,Tavuk Eti,,,Gıda > Et Tavuk Balık > Tavuk Eti
P00024,Gıda,Et Tavuk Balık,Tavuk Eti,Tavuk Eti,,,Tavuk Pirzola,Kg,,,,Gıda,Et Tavuk Balık,Tavuk Eti,,,Gıda > Et Tavuk Balık > Tavuk Eti
P00025,Gıda,Et Tavuk Balık,Tavuk Eti,Tavuk Eti,,,Tavuk But,Kg,,,,Gıda,Et Tavuk Balık,Tavuk Eti,,,Gıda > Et Tavuk Balık > Tavuk Eti
P00026,Gıda,Et Tavuk Balık,Tavuk Eti,Tavuk Eti,,,Tavuk Kanat,Kg,,,,Gıda,Et Tavuk Balık,Tavuk Eti,,,Gıda > Et Tavuk Balık > Tavuk Eti
P00027,Gıda,Et Tavuk Balık,Balık,Balık,,,Hamsi,Kg,,,,Gıda,Et Tavuk Balık,Balık,,,Gıda > Et Tavuk Balık > Balık
P00028,Gıda,Et Tavuk Balık,Balık,Balık,,,Kalkan,Kg,,,,Gıda,Et Tavuk Balık,Balık,,,Gıda > Et Tavuk Balık > Balık
P00029,Gıda,Et Tavuk Balık,Balık,Balık,,,Somon Norveç,Kg,,,,Gıda,Et Tavuk Balık,Balık,,,Gıda > Et Tavuk Balık > Balık
P00030,Gıda,Et Tavuk Balık,Balık,Balık,,,somon Karadeniz,Kg,,,,Gıda,Et Tavuk Balık,Balık,,,Gıda > Et Tavuk Balık > Balık
P00031,Gıda,Et Tavuk Balık,Balık,Balık,,,Mezgit,Kg,,,,Gıda,Et Tavuk Balık,Balık,,,Gıda > Et Tavuk Balık > Balık
P00032,Gıda,Et Tavuk Balık,Balık,Balık,,,İstavrit,Kg,,,,Gıda,Et Tavuk Balık,Balık,,,Gıda > Et Tavuk Balık > Balık
P00033,Gıda,Kuru Gıda,İçecek,İçecek,,,Maden Suyu,Adet,,,,Gıda,Kuru Gıda,İçecek,,,Gıda > Kuru Gıda > İçecek
P00034,Gıda,Kuru Gıda,Kuruyemiş,Kuruyemiş,,,Çiğ Badem İçi,Kg,,,,Gıda,Kuru Gıda,Kuruyemiş,,,Gıda > Kuru Gıda > Kuruyemiş
P00035,Gıda,Kuru Gıda,Kuruyemiş,Kuruyemiş,,,Antep Fıstığı,Kg,,,,Gıda,Kuru Gıda,Kuruyemiş,,,Gıda > Kuru Gıda > Kuruyemiş
