list_id,product_id,urun,birim,tarih,saat
LIST_20260427234549_c7ed8,P00144,Erik Malta,Kg,2026-04-27,23:47:02
LIST_20260427234549_c7ed8,P00145,Greyfurt,Kg,2026-04-27,23:47:03
LIST_20260427234549_c7ed8,P00115,Mango,Adet,2026-04-27,23:47:05
LIST_20260427234549_c7ed8,P00129,Armut Deveci,Kg,2026-04-27,23:47:09
LIST_20260427235236_6baab,P00407,Mac mini: Apple M4 Çip 10 Çekirdekli CPU 10 Çekir...,Adet,2026-04-27,23:53:14
LIST_20260428000717_f6188,P00547,Xiaomi 17 12/512GB,Adet,2026-04-28,00:07:49
LIST_20260428000717_f6188,P00517,Samsung Galaxy A17 5G 8/256GB,Adet,2026-04-28,00:08:03
LIST_20260428000717_f6188,P00476,Apple iPhone 13 4 GB 128 GB,Adet,2026-04-28,00:08:26
LIST_20260428000717_f6188,P00477,Apple iPhone 15 128 GB,Adet,2026-04-28,00:08:29
LIST_20260428003800_94405,P00407,Mac mini: Apple M4 Çip 10 Çekirdekli CPU 10 Çekir...,Adet,2026-04-28,00:38:35
